0xDB952C01, supportcsc
0xECF31C43, initsystem
0x9284135D, init
0x8AC3BEA9, postinit
0x6AB82760, detour_afd6952c-ac6b-477f-8071-bed9d7dc69d8
0x91DBD21, frontend
0x733911F5, lobby_main
0xE14BE45D, detour_f50d5e18-ef63-43b8-b425-ec54ba52382b
0x6BBA65DA, util
0x3F165EE8, is_frontend_map
0x9DE6AA7C, compiler
0x5B7814B6, issubstr
0xC1C8054, getdvarstring
0xF1DD3F68, shieldlog
0xEB7CBE39, detour
0xB12D869F, isprofilebuild
0xDAC0824C, register
0x3641C11C, undefined
0xE90FD9B0, system
0xCC82DCD8, localclientnum
0x80308CFA, menu_name
0xC4E89109, state
0x4384518E, getdvarint
0xCFEF4B38, @
0x9C3BDFFA, level
0x59F7A27, playmaincamxcam
0x79B89FCF, false
0x59FD29EC, supportgsc
0x5CB286B0, getbotskinrandom
0xF8ABB1B6, getbotcamorandom
0x96EF2A02, setrandomskin
0xAA149B72, setrandomcamos
0x125FD22, setrandomattachments
0xECF31C43, initsystem
0x181D4B81, prezmchanges
0x9284135D, init
0x8AC3BEA9, postinit
0xC55CD08A, backwards_movement
0x3BBEC682, wzchanges
0xFED6EAA6, mpchanges
0xBA76E58C, zmchanges
0xF9FF0932, zmonspawned
0x204EEEBE, mpbotonspawned
0xA33723FD, detour_df549529-1753-4f81-b853-f034f392915d
0x983A1937, serversettings
0x6E6C1657, detour_3aef2797-ff8a-419b-9326-5edac8f7d6f0
0x4031DB5, bot
0x7FFA32C1, detour_44aa9512-a5ab-461c-ac57-36f5308b1b8b
0x6BBA65DA, util
0x7C40CEA5, detour_ee98fe5f-63d4-4530-81c4-d3b3b093f99f
0x9AD0BCDE, stats
0xE3B11A95, detour_7f3e93cf-4f03-4b64-8b5a-e5fa4cf4f4fc
0xB0BC2DE6, challenges
0xC06260A7, canprocesschallenges
0xE36D8382, insertiondisarmcombat
0x39C40BE, shouldsuppresscombatnow
0xAC4B6B0C, bo_swim_up
0x3662991B, bo_swim_down
0x1FD45A22, enablebotsprint
0xBBDC5776, canengagecombatnow
0xD2D52F30, botsprintcontroller
0x1189225D, sprintwhilemovingloop
0xF55FEB20, getaimpointfordifficulty
0x998CFCD0, doslidetap
0xA1212CC2, difficultycombattactics
0x13338172, threatscore
0xC6D7A4CD, pickbestthreatnow
0x78E2EBA9, updatetargetsmart
0xCAD186DA, dojuke
0x1582B47F, smartmoveto
0x9F83D5FE, geteyepos
0x3BEB871E, canseetarget
0x37B5F56F, pickvisiblethreat
0x4B49BF0D, findenemy
0xEB4FA690, getrandomaliveenemyentity
0xF05B1AA, scanlook
0xE85E8B63, shootburst
0x65638275, isdownedlike
0xD22943F7, finddownedteammate
0x2C46689B, doreviveteammate
0x36C8FFFC, botholdbutton
0xBC5764D, insertionskystuckwatchdog
0xDBEE5DA8, waitforlanding_simple
0x81824B1D, getdztogroundsafe
0x26AC637, waitforlanding_safe
0x3CD6FD22, ishighaltitudeinsertion
0xAF5C8453, islandedstable
0xD30D7C5C, autorespawnloop
0xC4E9FA15, forcejumpoutafterrespawn
0xC65F0CF, insertionstuckrescueloop
0x41FDFC3F, insertionjumpoutrescueloop
0x895ECFA9, isairborneorinsertion
0xE22EF3C7, botsinitwz
0x5B7F4419, onplayerconnect
0x64495C7, onplayerspawned
0xE0B82CF, getbotskinrandomwz_frommp
0x32490890, addbotstogame
0xAEA0F546, waitandstartbrain
0x2239B7BA, pregamespreadnearanchor
0xF17AEFC3, setbotcharacterbyindex
0x7D99CA3B, assignrandomcharacter
0xB4B8DBEF, giverandomloot
0xB14FB917, giveinventoryitem
0x868968D6, brain
0x4A82B216, lifestartthreads
0x4C38DE3F, givearmor
0x231C4172, bo_teamspreadspawn_onlifestart
0x595AEB49, initbotdifficulty
0xAA71C40E, getbotdifficulty
0x16FCCE63, blackout
0x43EB1B3E, isbadanchorent
0x5D083907, isbadlandcandidate
0xC7C625ED, isactuallyswimmingorwater
0xF65F5947, picknearestdrylandgoal
